Vocabulary,1. Definition,1. Synonyms,2. Definition,2. Synonyms,3. Definition,3. Synonyms,1. Example,2. Example,3. Example
Exculpatory,tending to clear from a charge of fault or guilt.,,,,,,"Understanding the neurophysiology of the brain, therefore, would seem tobe as exculpatory as finding a tumor in it.",,
Inexorable,impossible to stop or prevent.,"relentless, unstoppable, inescapable, inevitable, unavoidable, irrevocable, unalterable;persistent, continuous, nonstop, steady, interminable, incessant, unceasing, unremitting, unrelenting",(of a person) impossible to persuade by request or entreaty.,"intransigent, unbending, unyielding, inflexible, adamant, obdurate, immovable, unshakable; implacable, unappeasable, severe, hard, unforgiving, unsparing, uncompromising, ruthless, relentless, pitiless, merciless",,,the seemingly inexorable march of new technology,"the doctors were inexorable, and there was nothing to be done",
Cantankerous,"bad-tempered, argumentative, and uncooperative.","acid, bearish, bilious, bloody-minded [chiefly British], ill–tempered, disagreeable, dyspeptic, ill-humored, ill-natured, ornery, splenetic, surly",,,,,"a crusty, cantankerous old man",,
Octogenarian,a person who is from 80 to 89 years old.,,,,,,his octogenarian mother-in-law,,
Precocious,(of a child) having developed certain abilities or proclivities at an earlier age than usual.,"advanced for one's age, forward, mature, gifted, talented, clever, intelligent, quick;",(of behavior or ability) indicative of early development.,,(of a plant) flowering or fruiting earlier than usual.,,some of the boys were extremely precocious,"""a precocious talent for computing",
Ebullient,cheerful and full of energy.,"exuberant, buoyant, cheerful, joyful, cheery, merry, jolly, sunny, jaunty, lighthearted, elated; animated, sparkling, vivacious, irrepressible; informalbubbly, bouncy, peppy, upbeat, chirpy, smiley, full of beans;",(of liquid or matter) boiling or agitated as if boiling.,,,,in an ebullient mood,misted and ebullient seas,
Avowed,assert or confess openly.,"assert, declare, state, maintain, swear, affirm, vow, insist; admit, confess, acknowledge;",,,,,"in previous testimony, you avowed that you were at home all evening",an avowed golf fanatic,
Edification,the instruction or improvement of a person morally or intellectually.,"education, instruction, tuition, teaching, training, tutelage, guidance; cultivation, information; improvement, development; ",,,,,I read Latin for my own personal edification,,
Septuagenarian,a person who is from 70 to 79 years old,,,,,,,,
Confluence,"the junction of two rivers, especially rivers of approximately equal width.","convergence, meeting, junction",an act or process of merging.,,,,the confluence of the Rhine and the Mosel,a major confluence of the world's financial markets,
Deluge,a severe flood.,"flood, torrent, spate",inundate with a great quantity of something.,"inundate, overwhelm, overrun, flood, swamp, snow under, engulf, bombard",,,homes were swept away by the deluge,we have been deluged with calls,
Quixotic,exceedingly idealistic; unrealistic and impractical.,"idealistic, romantic, visionary, utopian, extravagant, starry-eyed, unrealistic, unworldly;",,,,,a vast and perhaps quixotic project,,
Sacerdotal,relating to priests or the priesthood; priestly.,,,,,,,,
Ascetic,"characterized by or suggesting the practice of severe self-discipline and abstention from all forms of indulgence, typically for religious reasons.","austere, self-denying, abstinent, abstemious, self-disciplined, self-abnegating; ",a person who practices severe self-discipline and abstention.,"abstainer, puritan, recluse, hermit, anchorite, solitary;",,,"an ascetic life of prayer, fasting, and manual labor",,
Circumlocution,"the use of many words where fewer would do, especially in a deliberate attempt to be vague or evasive.","periphrasis, discursiveness, long-windedness, verbosity, verbiage, wordiness, prolixity, redundancy, pleonasm, tautology, repetitiveness, repetitiousness",,,,,his admission came after years of circumlocution,"when you've finished your circumlocution, maybe you could just get to the point",
Proselytize,"convert or attempt to convert (someone) from one religion, belief, or opinion to another.","evangelize, convert, save, redeem, win over, preach (to), recruit, act as a missionary",advocate or promote (a belief or course of action).,"promote, advocate, champion, advance, further, spread, proclaim, peddle, preach, endorse, urge, recommend, boost",,,"the program did have a tremendous evangelical effect, proselytizing many",he wanted to proselytize his ideas,
Consternation,"feelings of anxiety or dismay, typically at something unexpected.","dismay, perturbation, distress, disquiet, discomposure;",,,,,"I always welcomed clover, much to the consternation of the neighbors",,
Idolatry,worship of idols.,"idolization, fetishization, fetishism, idol worship, adulation, adoration, reverence, veneration, glorification, lionization, hero-worshiping","extreme admiration, love, or reverence for something or someone.","idolization, fetishization, fetishism, idol worship, adulation, adoration, reverence, veneration, glorification, lionization, hero-worshiping",,,the prophets railed against idolatry,the prophets railed against idolatry,
Indolence,avoidance of activity or exertion; laziness.,"laziness, idleness, slothfulness, sloth, shiftlessness, inactivity, inaction, inertia, sluggishness, lifelessness, lethargy, languor, languidness, torpor, torpidity; ",,,,,my failure is probably due to my own indolence,,
Perspicacity,the quality of having a ready insight into things; shrewdness.,,,,,,the perspicacity of her remarks,,
Exegesis,"critical explanation or interpretation of a text, especially of scripture.","interpretation, explanation, exposition, explication",,,,,the task of biblical exegesis,,
Hagiography,the writing of the lives of saints.,,adulatory writing about another person.,,biography that idealizes its subject.,,,,
Puerile,childishly silly and trivial.,"childish, immature, infantile, juvenile, babyish; silly, inane, fatuous, jejune, asinine, foolish, petty",,,,,you're making puerile excuses,you're too old for these puerile outbursts,
Assiduous,showing great care and perseverance.,"diligent, careful, meticulous, thorough, sedulous, attentive, conscientious, punctilious, painstaking, rigorous, particular; persevering",,,,,she was assiduous in pointing out every feature,,
Discursive,digressing from subject to subject.,"rambling, digressive, meandering, wandering, maundering, diffuse, long, lengthy, wordy, verbose, long-winded, prolix;",of or relating to discourse or modes of discourse.,,,,"students often write dull, secondhand, discursive prose",the attempt to transform utterances from one discursive context to another,
Inculcate,"instill (an attitude, idea, or habit) by persistent instruction.","instill in, implant in, fix in, impress in, imprint in; hammer into, drum into, drive into, drill ","teach (someone) an attitude, idea, or habit by persistent instruction.",,,,the beliefs inculcated in him by his father,they will try to inculcate you with a respect for culture,
Cumulonimbus,"An extremely dense, vertically developed cloud with a low, dark base and fluffy masses that tower to great heights.",,,,,,,,
Jocosely,given to or characterized by joking; jesting; humorous; playful:,,,,,,a jocose and amusing manner.,,
Paroxysm,a sudden attack or violent expression of a particular emotion or activity.,"spasm, attack, fit, burst, bout, convulsion, seizure, outburst, eruption, explosion, access",,,,,a paroxysm of weeping,,
Avuncular,of or relating to an uncle.,,,,,,,,
Impresario,"a person who organizes and often finances concerts, plays, or operas.","organizer, (stage) manager, producer; promoter, publicist, showman; director, conductor, ",,,,,a theatrical impresario,,
Epochal,forming or characterizing an epoch; epoch-making.,,,,,,,,
Capitulate,cease to resist an opponent or an unwelcome demand; surrender.,"surrender, give in/up, yield, concede defeat, give up the struggle, submit, knuckle under;",,,,,the patriots had to capitulate to the enemy forces,,
Contrition,the state of feeling remorseful and penitent.,"remorse, remorsefulness, repentance, penitence, sorrow, sorrowfulness, regret, ruefulness, pangs of conscience;",,,,,,,
Dolorous,feeling or expressing great sorrow or distress.,,,,,,,,
Primeval,of or resembling the earliest ages in the history of the world.,"ancient, earliest, first, prehistoric, antediluvian, primordial; pristine, original, virgin",(of feelings or actions) based on primitive instinct; raw and elementary.,"instinctive, primitive, basic, primal, primordial, intuitive, inborn, innate, inherent",,,mile after mile of primeval forest,primeval fears,
Diaphanous,"(especially of fabric) light, delicate, and translucent.","sheer, fine, delicate, light, thin, insubstantial, floaty, flimsy, filmy, silken, chiffony, gossamer, gossamer-thin, gauzy; ",,,,,a diaphanous dress of pale gold,,
Languor,"the state or feeling, often pleasant, of tiredness or inertia.","lassitude, lethargy, listlessness, torpor, fatigue, weariness, sleepiness, drowsiness;",an oppressive stillness of the air.,"stillness, tranquility, calm, calmness; oppressiveness, heaviness",,,he remembered the languor and warm happiness of those golden afternoons,"the afternoon was hot, quiet, and heavy with languor",
Sonorously,(of a person's voice or other sound) imposingly deep and full.,,capable of producing a deep or ringing sound.,"resonant, rich, full, round, booming, deep, clear, mellow, orotund, fruity, strong, resounding, reverberant",(of a speech or style) using imposing language.,"impressive, imposing, grandiloquent, magniloquent, high-flown, lofty, orotund, bombastic, grandiose, pompous, pretentious, overblown, turgid; ",the alloy is sonorous and useful in making bells,they had expected the lawyers to deliver sonorous lamentations,
Orbicular,having the shape of a flat ring or disk.,,having a rounded convex or globular shape.,,,,,,
Ululate,"howl or wail as an expression of strong emotion, typically grief.",,,,,,women were ululating as the body was laid out,,
Voluminous,"occupying or containing much space; large in volume, in particular.","capacious, roomy, spacious, ample, full, big, large, bulky, extensive, sizable, generous;",(of clothing or drapery) loose and ample.,,(of writing) very lengthy and full.,,,,
Acrid,having an irritatingly strong and unpleasant taste or smell.,"pungent, bitter, sharp, sour, tart, caustic, harsh, irritating, acid, acidic, vinegary, acetic, ",angry and bitter.,,,,acrid fumes,,
Fetid,smelling extremely unpleasant.,"stinking, smelly, foul-smelling, malodorous, reeking, pungent, acrid, high, rank, foul, noxious, humming",,,,,the fetid water of the marsh,,
Mellifluous,(of a voice or words) sweet or musical; pleasant to hear.,"sweet-sounding, dulcet, honeyed, mellow, soft, liquid, silvery, soothing, rich, smooth, euphonious, harmonious, tuneful, musical",,,,,mellifluous dinner music,,
Funereal,"having the mournful, somber character appropriate to a funeral.","somber, gloomy, mournful, melancholy, lugubrious, sepulchral, miserable, doleful, woeful, sad, sorrowful, cheerless, joyless, bleak, dismal, depressing, dreary; ",,,,,Lincoln's funereal gloominess was legendary,,
Cabalistic,relating to or associated with mystical interpretation or esoteric doctrine.,,,,,,,,
Hale,"(of a person, especially an elderly one) strong and healthy.","healthy, fit, fighting fit, well, in good health, bursting with health, in fine fettle, strong, ",,,,,"only just sixty, very hale and hearty",,
Somnolent,sleepy; drowsy.,"sleepy, drowsy, tired, languid, dozy, groggy, lethargic, sluggish, enervated, torpid; informalsnoozy, dopey, yawny; ",causing or suggestive of drowsiness.,"quiet, restful, tranquil, calm, peaceful, relaxing, soothing, undisturbed, untroubled",,,he felt somnolent after lunch,a somnolent summer day,
Mirthful,,,,,,,,,
Insouciantly,,,,,,,,,
Solicitous,,,,,,,,,
Farinaceous,,,,,,,,,
Ignominious,,,,,,,,,
Portentuous,,,,,,,,,
Concupiscent,,,,,,,,,
Otiose,,,,,,,,,
Latescent,,,,,,,,,
Callipygousn,,,,,,,,,
Tristful,,,,,,,,,
Myopic,,,,,,,,,
Odious,,,,,,,,,
Globular,,,,,,,,,
Exopthalmic,,,,,,,,,
Supercilious,,,,,,,,,
Fastidious,,,,,,,,,
Prosthetizing,,,,,,,,,
Infatuate,,,,,,,,,
Lurid,,,,,,,,,
Coy,,,,,,,,,
Solipsism,,,,,,,,,
Verisimilitude,,,,,,,,,
Cordon,,,,,,,,,
Animus,,,,,,,,,
Sonorous,,,,,,,,,
Connubial,,,,,,,,,
Capacious,,,,,,,,,
Incipient,,,,,,,,,
Solomonic,,,,,,,,,
Signatory,,,,,,,,,
Redolent,,,,,,,,,
Fulminate,,,,,,,,,
Inveterate,,,,,,,,,
Suppurations,,,,,,,,,
Facsimile,,,,,,,,,
Unctuous,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
